scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_tost,p_noninferiority,t_noninferiority,p_upper_test,t_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
cdd,test-2019_test-2020,0.15,15.0,BM25,RR@10,97,0.7986786123384061,0.8059401080019636,0.0072614956635575,-0.05,-0.0399339306169203,1000000.0,-0.0485831587023937,0.0631061500295087,0.0483440579338818,0.0483440579338818,1.6775496563890568,0.0,-35544750.33741666,True,True,False,True
cdd,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8489690721649484,-0.0128415971199476,-0.05,-0.0430905334642448,1000000.0,-0.0466784105813837,0.0209952163414884,0.0395746722910933,0.0395746722910933,1.774507051391298,0.0,-58663453.616389714,True,True,False,True
cdd,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9527491408934708,0.0172557682866961,-0.05,-0.0467746686303387,1000000.0,-0.0010756542618679,0.0355871908352601,2.3751840466227503e-10,2.3751840466227503e-10,6.933417873276105,0.0,-108283155.44087854,True,True,True,True
cdd,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9411062019309442,0.0056128293241695,-0.05,-0.0467746686303387,1000000.0,-0.028200312094712,0.039425970743051,0.001369174174751,0.001369174174751,3.075383037377125,0.0,-58704521.88394443,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1981292923090917,0.0138531291217537,-0.05,-0.0092138081593668,1000000.0,0.009349903237142,0.0183563550063655,7.248369020703772e-24,7.248369020703772e-24,10.041292534030072,0.0,-435311037.2890784,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,BM25,nDCG@10,6980,0.2299347532023317,0.2425531993801006,0.0126184461777689,-0.05,-0.0114967376601165,1000000.0,0.0084010836540357,0.0168358087015021,3.2431963777183616e-29,3.2431963777183616e-29,11.209159768101507,0.0,-464817506.7630821,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6651146131805158,-0.0126432664756447,-0.05,-0.033887893982808,1000000.0,-0.0187933620956721,-0.0064931708556172,6.886993799137879e-12,6.886993799137879e-12,6.771590226296787,0.0,-318743659.291204,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.2916111224814663,-0.005322861236185,-0.05,-0.0148466991858825,1000000.0,-0.0076471118535301,-0.0029986106188398,5.562140185869566e-16,5.562140185869566e-16,8.032531900859043,0.0,-843413336.7284129,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.3460392397040682,-0.0065142893023259,-0.05,-0.0176276764503197,1000000.0,-0.0088865812813444,-0.0041419973233073,2.7060368344422902e-20,2.7060368344422902e-20,9.183362337842365,0.0,-826333346.9241412,True,True,True,True
finetuned_qualt5_dev.small,,0.15,15.0,SPLADE,R@100,6980,0.8166905444126075,0.7932784145176697,-0.0234121298949379,-0.05,-0.0408345272206303,1000000.0,-0.0276364210579076,-0.0191878387319682,3.637051275127099e-16,3.637051275127099e-16,8.084952745947378,0.0,-464055134.5543374,True,True,True,True
